"""Raise the Root Organic Market""",Food
"""Raise the Root Organic Market""",Specialty Food
"""Di Liso's Fine Meats""",Food
"""Di Liso's Fine Meats""",Meat Shops
"""Di Liso's Fine Meats""",Specialty Food
"""Macelleria Atlas Butcher Shop""",Meat Shops
"""Macelleria Atlas Butcher Shop""",Food
"""Macelleria Atlas Butcher Shop""",Specialty Food
"""The Healthy Road""",Grocery
"""The Healthy Road""",Food
"""Juice Box""",Food
"""Juice Box""",Juice Bars & Smoothies
"""Elle Cuisine""",Specialty Schools
"""Elle Cuisine""",Caterers
"""Elle Cuisine""",Cooking Schools
"""LCBO""",Food
"""LCBO""",Beer
"""Booster Juice""",Food
"""Booster Juice""",Juice Bars & Smoothies
"""York Station Bar""",Food
"""York Station Bar""",Bars
"""York Station Bar""",Nightlife
"""St Patricks Mini Mart""",Grocery
"""St Patricks Mini Mart""",Ice Cream & Frozen Yogurt
"""St Patricks Mini Mart""",Food
"""Cock-A-Doodle-Doo""",Food
"""Cock-A-Doodle-Doo""",Bakeries
"""Cock-A-Doodle-Doo""",Gluten-Free
"""Cock-A-Doodle-Doo""",Restaurants
"""Patricia's Cake Creations""",Bakeries
"""Patricia's Cake Creations""",Cafes
"""Patricia's Cake Creations""",Food
"""Patricia's Cake Creations""",Desserts
"""Patricia's Cake Creations""",Restaurants
"""Sugar Loaf""",Breakfast & Brunch
"""Sugar Loaf""",Bakeries
"""Sugar Loaf""",Cafes
"""Sugar Loaf""",Food
"""Sugar Loaf""",Coffee & Tea
"""Sugar Loaf""",Restaurants
"""Lily Fruits Market""",Grocery
"""Lily Fruits Market""",Food
"""Lily Fruits Market""",Juice Bars & Smoothies
"""Sullivan & Bleeker Baking""",Food
"""Sullivan & Bleeker Baking""",Bakeries
"""Sullivan & Bleeker Baking""",Desserts
"""Grace Meats & Fine Foods""",Food
"""Grace Meats & Fine Foods""",Meat Shops
"""Grace Meats & Fine Foods""",Specialty Food
"""Eupin Chinese Takeout""",Restaurants
"""Eupin Chinese Takeout""",Chinese
"""Caspi Restaurant""",Russian
"""Caspi Restaurant""",Specialty Food
