business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,final
VnibgMdZkBqnMDnY4BWPUg,"""Naan and Kabob""",Scarborough,"""1780 Markham Road""",Toronto,ON,M1B 2W2,43.7952059,-79.2397806,4,12,1,"[""Afghan"",""Halal"",""Middle Eastern"",""Restaurants"","""","""","""","""","""","""","""","""","""","""",""""]"
T0ju0drMLfXJPNLnEsEYgw,"""Pizza Hot Wings""",Scarborough,"""3007 Sheppard Avenue E""",Toronto,ON,M1T 3J5,43.7764067,-79.3181349,3.5,3,0,"[""Afghan"",""Halal"",""Pizza"",""Restaurants"","""","""","""","""","""","""","""","""","""","""",""""]"
VtQIAj8eXvHqc_8MtMMGwg,"""Afghan Cuisine""",,"""66 Overlea Boulevard, Unit 62""",Toronto,ON,M4H 1C4,43.7080702,-79.341508,4,30,1,"[""Afghan"",""Persian/Iranian"",""Halal"",""Restaurants"","""","""","""","""","""","""","""","""","""","""",""""]"
tQKRXnzWZllD4M3toa-UaQ,"""Taftan Kebab""",Willowdale,"""5372 Yonge Street""",Toronto,ON,M2N 5R5,43.774496,-79.4143012,3,41,1,"[""Afghan"",""Persian/Iranian"",""Middle Eastern"",""Restaurants"","""","""","""","""","""","""","""","""","""","""",""""]"
d2k0I5mbDiOYrCAjJLLMiQ,"""Mazar Kabob""",Etobicoke,"""133 The West Mall, Unit 1""",Toronto,ON,M9C,43.6198128,-79.5618221,4.5,9,1,"[""Afghan"",""Restaurants"","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
nuNraiaIluYc9vDZg7XfRA,"""Naan and Kabob""",Scarborough,"""300 Borough Drive""",Toronto,ON,M1P 4P5,43.7756724,-79.2581928,3,6,1,"[""Afghan"",""Restaurants"",""Halal"","""","""","""","""","""","""","""","""","""","""","""",""""]"
VDhLScy4FneNi9LcVOg-aQ,"""Shawarma Q""",Yonge and St. Clair,"""55 St Clair Avenue W""",Toronto,ON,M4V 2Y7,43.6872062,-79.3966346,5,3,1,"[""Afghan"",""Restaurants"",""Middle Eastern"","""","""","""","""","""","""","""","""","""","""","""",""""]"
oXMvjbVKKr629a2FTxXtJA,"""Nando's Flame Grilled Chicken""",,"""939 Eglinton Ave E.""",Toronto,ON,M4G 4E8,43.71303364,-79.35975402,3,56,1,"[""African"",""American"","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
COExayvsDDJOjWTOFZ7a4A,"""Panafest""",,"""2708 Jane Street, Unit 5""",Toronto,ON,M3L 2E8,43.743037,-79.5140998,3,5,1,"[""African"",""Nightlife"",""Restaurants"",""Bars"","""","""","""","""","""","""","""","""","""","""",""""]"
9rvRHoEgbUDAx4jbzv80uQ,"""Memories of Africa""",,"""1733 Eglinton Ave E, Ste 5""",Toronto,ON,M4A 1J8,43.7255431,-79.3131505,2.5,3,1,"[""African"",""Restaurants"","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
NYj4iiRyQulshoafgujiSQ,"""New Bilan Restaurant""",,"""183 Dundas Street E""",Toronto,ON,M5A 1Z4,43.6570079,-79.37405,4.5,7,0,"[""African"",""Restaurants"","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
hlfk9WZxWMk6gHbsazhvTg,"""The Suya Spot""",,"""10-12 Bradstock Road""",Toronto,ON,M9M 1M8,43.7397277,-79.5385519,3,6,1,"[""African"",""Restaurants"","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
DD_dSlQKcln7VXbN1qxcLA,"""Pero Restaurant & Lounge""",Christie Pits,"""812 Bloor Street W""",Toronto,ON,M6G 1L9,43.6627952,-79.4227388,4,48,1,"[""African"",""Restaurants"",""Ethiopian"",""Vegetarian"",""Vegan"","""","""","""","""","""","""","""","""","""",""""]"
sCo8DEQfbc8_xWzg2kmvIA,"""Al Mandi""",The Danforth,"""1328 Danforth Avenue""",Toronto,ON,M4J 1M9,43.6823292,-79.3293106,3.5,6,1,"[""African"",""Restaurants"",""Halal"",""Middle Eastern"",""Arabian"",""Mediterranean"","""","""","""","""","""","""","""","""",""""]"
vCqOyw2f8s6Il3T27Gbwbg,"""Chick Fiesta""",Scarborough,"""2761 Markham Road, Unit 31""",Toronto,ON,M1X 0A4,43.821343,-79.2462952,4.5,3,1,"[""African"",""South African"",""Chicken Shop"",""Portuguese"",""Restaurants"","""","""","""","""","""","""","""","""","""",""""]"
v_LG5tOinxf3ve5GAIZhjQ,"""Nandos Danforth""",Greektown,"""671 Danforth Avenue""",Toronto,ON,M4J 1L3,43.678817,-79.34451,3,25,1,"[""African"",""South African"",""Restaurants"",""Portuguese"","""","""","""","""","""","""","""","""","""","""",""""]"
efFIGYJDnqPnjXlASxF7PQ,"""Lucy Ethiopian Kitchen""",The Danforth,"""1690 Danforth Avenue""",Toronto,ON,M4C,43.6841128,-79.3207142,4.5,50,1,"[""African"",""Vegetarian"",""Ethiopian"",""Restaurants"","""","""","""","""","""","""","""","""","""","""",""""]"
0O3H5plJx-Cq2A80qFVW5w,"""LAB""",Little Italy,"""651 College Street""",Toronto,ON,M6G 1B7,43.6549862,-79.4159745,4,17,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
O1QugfyKD4G636jV43-vkw,"""Swiss Chalet Rotisserie & Grill""",Scarborough,"""2555 Victoria Park Ave""",Toronto,ON,M1T 1A3,43.77330507,-79.32170439,3,10,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
klu0zF1rWAoNAhKPsFyUog,"""LOCAL Public Eatery""",,"""180 Laird Drive""",Toronto,ON,M4G 3V7,43.7098882,-79.3635484,3.5,85,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
w7SGswPn3aT9EjJ0duIkQQ,"""TGI Friday's""",Meadowvale Village,"""Toronto Pearson International Airport, Terminal 3, Concourse A""",Toronto,ON,L5P 1B2,43.634486,-79.70339,2.5,6,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
JOf872M0OWxX18qp9fTfAQ,"""America""",Downtown Core,"""325 Bay Street, 31st Fl""",Toronto,ON,M5H 4G5,43.6495049,-79.3799351,3.5,77,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
9vLGuYpCoV9Od2b7hoBPrg,"""Detroit Eatery""",Greektown,"""389 Danforth Ave""",Toronto,ON,M4K 1P1,43.6774678,-79.3516998,3.5,37,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
wJhdPi4tvJGV24NXQv3Vnw,"""Gabby's at the Isabella Hotel""",,"""556 Sherbourne St.""",Toronto,ON,M4X 1L3,43.6696804,-79.3757831,3,18,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
dqXWQSaNMKf9fimx_AT31w,"""Remy's Restaurant""",Yorkville,"""115 Yorkville Avenue""",Toronto,ON,M5R 1C1,43.6707754,-79.3928442,3,48,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
usGow17X8F4qER7kNPBXzg,"""Bâton Rouge Steakhouse & Bar""",Scarborough,"""520 Progress Avenue""",Toronto,ON,M1P 2K2,43.778928,-79.2573181,3,40,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
zz3CqZhNx2rQ_Yp6zHze-A,"""Grindhouse Burger Bar""",Entertainment District,"""365 King Street W""",Toronto,ON,M5V,43.6456574,-79.3934475,3,48,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
siG1NvTQrnJ9OT-FPAx4WA,"""Mr Greenjeans Restaurant & Bar""",Downtown Core,"""220 Yonge Street, Level 4""",Toronto,ON,M5B 2H1,43.65147867,-79.38240051,3,54,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
OQ9rVtBEFFI4jkdEo9AoRg,"""Loons Restaurant & Pub""",Roncesvalles,"""416 Roncesvalles Avenue""",Toronto,ON,M6R 2N2,43.6517304,-79.4512596,3,23,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
Uw-kIS3HTuAohfg0edQZ3Q,"""Joy Bistro""",Leslieville,"""884 Queen Street E""",Toronto,ON,M4M 1J3,43.66041774,-79.34348176,3,130,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
Y-1lW4JXtrnez8b1T3RnKw,"""The Academy of Spherical Arts""",Liberty Village,"""1 Snooker Street""",Toronto,ON,M6K 1G1,43.639492,-79.420084,4,15,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
YH_-5LGif2oRj6ax8gENpQ,"""Swiss Chalet Rotisserie & Grill""",Downtown Core,"""700 University Ave""",Toronto,ON,M5G 1Z5,43.6595025,-79.3909121,2.5,14,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
s6WtB9ua3yf5HrZ16CmmwA,"""Barrio Lounge""",Leslieville,"""896 Queen St E""",Toronto,ON,M4M 1J3,43.660498,-79.3429538,3,9,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
O-uIEuv7JLUHajkemx_sVw,"""Beerbistro""",Downtown Core,"""18 King Street E""",Toronto,ON,M5C 1C4,43.649817,-79.377147,4,546,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
NrJSy3dgcXErFtOKGREmnw,"""Aft Kitchen & Bar""",Riverdale,"""686 Queen Street E""",Toronto,ON,M4M 1H1,43.658809,-79.350781,4,142,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
mG71gQ5HWl7ut9OCN6NJKA,"""360 Restaurant""",Entertainment District,"""CN Tower, 301 Front Street W""",Toronto,ON,M5V 2T6,43.64276809,-79.38709974,3.5,627,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
WsOqIVMIVshUis9kUkG0KA,"""Niagara Street Cafe""",Niagara,"""169 Niagara Street""",Toronto,ON,M5V 1C9,43.64197573,-79.40649039,4,21,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
cRuk2y-LeWL42UVEkLVU3A,"""BnB Bistro""",Downtown Core,"""Sheraton Centre Toronto Hotel, 123 Queen Street W""",Toronto,ON,M5H 3M9,43.6511809,-79.3844646,2.5,17,1,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
fZ5jJ_TOJHeaRi5UBdRvYw,"""Soup It Up""",Church-Wellesley Village,"""20 Bloor Street E""",Toronto,ON,M4W 3G7,43.670313,-79.3864459,2,6,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
ezIJZVDdbfqu3vRGa6-flw,"""The Works""",The Beach,"""1953 Queen Street E""",Toronto,ON,M4L 1H7,43.669176,-79.3024474,3.5,12,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
_OAPdOJiAE-8ROsJPVPxYA,"""La Saucisserie""",Ossington Strip,"""229 Ossington Ave""",Toronto,ON,M6J 2Z8,43.6491049,-79.4205504,4,9,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
9Z03sjpsyM4aiSSk_yiwNA,"""Hard Rock Cafe""",Entertainment District,"""Rogers Centre, 1 Blue Jays Way, Ste 3500""",Toronto,ON,M5V 1J3,43.645268,-79.388952,4.5,3,0,"[""American"","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]"
