artist,year,city,genres
Drake,2010,Toronto,canadian hip hop
Drake,2010,Toronto,canadian pop
Drake,2010,Toronto,hip hop
Drake,2010,Toronto,pop rap
Drake,2010,Toronto,rap
Nicki Minaj,2010,New York,dance pop
Nicki Minaj,2010,New York,hip pop
Nicki Minaj,2010,New York,pop
Nicki Minaj,2010,New York,pop rap
Nicki Minaj,2010,New York,post-teen pop
Kendrick Lamar,2011,Compton,hip hop
Kendrick Lamar,2011,Compton,pop rap
Kendrick Lamar,2011,Compton,rap
Kendrick Lamar,2011,Compton,west coast rap
Kanye West,2004,Chicago,pop
Kanye West,2004,Chicago,pop rap
Kanye West,2004,Chicago,rap
Wiz Khalifa,2006,Pittsburgh,hip hop
Wiz Khalifa,2006,Pittsburgh,pop rap
Wiz Khalifa,2006,Pittsburgh,rap
Wiz Khalifa,2006,Pittsburgh,southern hip hop
Wiz Khalifa,2006,Pittsburgh,trap music
Future,2012,Atlanta,pop
Future,2012,Atlanta,pop rap
Future,2012,Atlanta,rap
Future,2012,Atlanta,southern hip hop
Future,2012,Atlanta,trap music
Lil Wayne,1999,New Orleans,hip hop
Lil Wayne,1999,New Orleans,pop
Lil Wayne,1999,New Orleans,pop rap
Lil Wayne,1999,New Orleans,rap
Lil Wayne,1999,New Orleans,trap music
Migos,2015,Atlanta,pop
Migos,2015,Atlanta,rap
Migos,2015,Atlanta,trap music
J. Cole,2011,Raleigh,pop
J. Cole,2011,Raleigh,pop rap
J. Cole,2011,Raleigh,rap
J. Cole,2011,Raleigh,pop
J. Cole,2011,Raleigh,pop rap
J. Cole,2011,Raleigh,rap
Big Sean,2011,Detroit,detroit hip hop
Big Sean,2011,Detroit,hip hop
Big Sean,2011,Detroit,pop
Big Sean,2011,Detroit,pop rap
Big Sean,2011,Detroit,rap
Big Sean,2011,Detroit,southern hip hop
Big Sean,2011,Detroit,trap music
JAY Z,1996,New York,bulgarian hip hop
JAY Z,1996,New York,east coast hip hop
JAY Z,1996,New York,gangster rap
JAY Z,1996,New York,hip hop
JAY Z,1996,New York,pop rap
JAY Z,1996,New York,rap
JAY Z,1996,New York,southern hip hop
21 Savage,2017,Atlanta,pop
21 Savage,2017,Atlanta,rap
21 Savage,2017,Atlanta,trap music
Lil Uzi Vert,2017,Philadephia,pop
Lil Uzi Vert,2017,Philadephia,rap
Lil Uzi Vert,2017,Philadephia,trap music
Post Malone,2016,Dallas,pop
Post Malone,2016,Dallas,rap
A$AP Rocky,2013,New York,east coast hip hop
A$AP Rocky,2013,New York,hip hop
A$AP Rocky,2013,New York,pop
A$AP Rocky,2013,New York,pop rap
A$AP Rocky,2013,New York,rap
A$AP Rocky,2013,New York,southern hip hop
A$AP Rocky,2013,New York,trap music
Frank Ocean,2012,Los Angeles,hip hop
Frank Ocean,2012,Los Angeles,indie r&b
Frank Ocean,2012,Los Angeles,neo soul
Frank Ocean,2012,Los Angeles,pop
Frank Ocean,2012,Los Angeles,pop rap
Frank Ocean,2012,Los Angeles,r&b
Frank Ocean,2012,Los Angeles,rap
Rae Sremmurd,2015,Mississippi,hip hop
Rae Sremmurd,2015,Mississippi,pop
Rae Sremmurd,2015,Mississippi,pop rap
Rae Sremmurd,2015,Mississippi,rap
Rae Sremmurd,2015,Mississippi,southern hip hop
Rae Sremmurd,2015,Mississippi,trap music
Chance The Rapper,2012,Chicago,hip hop
Chance The Rapper,2012,Chicago,pop
Chance The Rapper,2012,Chicago,pop rap
Chance The Rapper,2012,Chicago,rap
G-Eazy,2009,Oakland,indie pop rap
Kodak Black,2017,Miami,pop
Kodak Black,2017,Miami,rap
Kodak Black,2017,Miami,southern hip hop
Kodak Black,2017,Miami,trap music
Lil Yachty,2017,Atlanta,pop
Lil Yachty,2017,Atlanta,rap
Lil Yachty,2017,Atlanta,southern hip hop
Lil Yachty,2017,Atlanta,trap music
Tyga,2008,Compton,dance pop
Tyga,2008,Compton,hip hop
Tyga,2008,Compton,pop
Tyga,2008,Compton,pop rap
Tyga,2008,Compton,rap
Tyga,2008,Compton,southern hip hop
Tyga,2008,Compton,trap music
Childish Gambino,2011,Atlanta,hip hop
Childish Gambino,2011,Atlanta,pop rap
Childish Gambino,2011,Atlanta,rap
Lil Pump,2017,Miami,rap
Young Thug,2011,Atlanta,dwn trap
Young Thug,2011,Atlanta,gangster rap
Young Thug,2011,Atlanta,hip hop
Young Thug,2011,Atlanta,pop
Young Thug,2011,Atlanta,pop rap
Young Thug,2011,Atlanta,rap
Young Thug,2011,Atlanta,southern hip hop
Young Thug,2011,Atlanta,trap music
Travis Scott,2015,Houston,pop
Travis Scott,2015,Houston,pop rap
Travis Scott,2015,Houston,rap
Travis Scott,2015,Houston,trap music
Kid Cudi,2009,Cleveland,hip hop
Kid Cudi,2009,Cleveland,pop rap
Kid Cudi,2009,Cleveland,rap
Logic,2014,Beverly Hills,pop rap
Logic,2014,Beverly Hills,rap
Cardi B,2018,New York,pop
Mac Miller,2011,Pittsburgh,hip hop
Mac Miller,2011,Pittsburgh,pop
Mac Miller,2011,Pittsburgh,pop rap
Mac Miller,2011,Pittsburgh,rap
Mac Miller,2011,Pittsburgh,southern hip hop
Mac Miller,2011,Pittsburgh,trap music
Gucci Mane,2005,Atlanta,dirty south rap
Gucci Mane,2005,Atlanta,hip hop
Gucci Mane,2005,Atlanta,pop
Gucci Mane,2005,Atlanta,pop rap
Gucci Mane,2005,Atlanta,rap
Gucci Mane,2005,Atlanta,southern hip hop
Gucci Mane,2005,Atlanta,trap music
"Tyler, The Creator",2011,Los Angeles,hip hop
"Tyler, The Creator",2011,Los Angeles,rap
ScHoolboy Q,2011,Los Angeles,gangster rap
ScHoolboy Q,2011,Los Angeles,hip hop
ScHoolboy Q,2011,Los Angeles,pop
ScHoolboy Q,2011,Los Angeles,pop rap
ScHoolboy Q,2011,Los Angeles,rap
ScHoolboy Q,2011,Los Angeles,southern hip hop
ScHoolboy Q,2011,Los Angeles,trap music
ScHoolboy Q,2011,Los Angeles,underground hip hop
French Montana,2013,New York,hip hop
French Montana,2013,New York,pop
French Montana,2013,New York,pop rap
French Montana,2013,New York,rap
French Montana,2013,New York,southern hip hop
French Montana,2013,New York,trap music
Tory Lanez,2016,Toronto,canadian hip hop
Tory Lanez,2016,Toronto,indie r&b
Tory Lanez,2016,Toronto,pop
Tory Lanez,2016,Toronto,pop rap
Tory Lanez,2016,Toronto,r&b
Tory Lanez,2016,Toronto,rap
Tory Lanez,2016,Toronto,southern hip hop
Tory Lanez,2016,Toronto,trap music
A$AP Ferg,2013,New York,hip hop
A$AP Ferg,2013,New York,pop
A$AP Ferg,2013,New York,pop rap
A$AP Ferg,2013,New York,rap
A$AP Ferg,2013,New York,southern hip hop
A$AP Ferg,2013,New York,trap music
A$AP Ferg,2013,New York,underground hip hop
Joey Bada$$,2015,New York,hip hop
Joey Bada$$,2015,New York,pop rap
Joey Bada$$,2015,New York,rap
Joey Bada$$,2015,New York,trap music
Joey Bada$$,2015,New York,underground hip hop
Lil Xan,2018,Los Angeles,underground hip hop
6LACK,2016,Atlanta,indie r&b
6LACK,2016,Atlanta,pop
6LACK,2016,Atlanta,r&b
6LACK,2016,Atlanta,rap
6LACK,2016,Atlanta,trap music
Lil Dicky,2013,Philadephia,pop rap
Lil Dicky,2013,Philadephia,rap
Pusha T,2013,New York,alternative hip hop
Pusha T,2013,New York,dirty south rap
Pusha T,2013,New York,gangster rap
Pusha T,2013,New York,hip hop
Pusha T,2013,New York,pop rap
Pusha T,2013,New York,rap
Pusha T,2013,New York,southern hip hop
Pusha T,2013,New York,trap music
Pusha T,2013,New York,underground hip hop
Smokepurpp,2017,Miami,canadian hip hop
Smokepurpp,2017,Miami,pop
Smokepurpp,2017,Miami,rap
Smokepurpp,2017,Miami,southern hip hop
Smokepurpp,2017,Miami,trap music
Smokepurpp,2017,Miami,underground hip hop
Smokepurpp,2017,Miami,vapor trap
NAV,2017,Toronto,canadian hip hop
NAV,2017,Toronto,pop
NAV,2017,Toronto,rap
NAV,2017,Toronto,trap music
Rich Brian,2018,Indonesia,indonesian hip hop
Rich Brian,2018,Indonesia,underground hip hop
Rich Brian,2018,Indonesia,vapor trap
