Year,US GDP,World GDP,US Population,Global Population,Foreign Policy,US_unemploy
1929,1.06,#N/A,121769000,#N/A,0,#N/A
1930,0.97,#N/A,123075000,#N/A,0,#N/A
1931,0.9,#N/A,124038000,#N/A,0,#N/A
1932,0.79,#N/A,124839000,#N/A,0,#N/A
1933,0.78,#N/A,125580000,#N/A,0,#N/A
1934,0.86,#N/A,126372000,#N/A,0,#N/A
1935,0.94,#N/A,127251000,#N/A,0,#N/A
1936,1.06,#N/A,128054000,#N/A,0,#N/A
1937,1.11,#N/A,128822000,#N/A,0,#N/A
1938,1.08,#N/A,129825000,#N/A,0,#N/A
1939,1.16,#N/A,130884000,#N/A,0,#N/A
1940,1.27,#N/A,131955000,#N/A,0,#N/A
1941,1.49,#N/A,133122000,#N/A,0,#N/A
1942,1.77,#N/A,133922000,#N/A,0,#N/A
1943,2.07,#N/A,134242000,#N/A,0,#N/A
1944,2.24,#N/A,132883000,#N/A,0,#N/A
1945,2.22,#N/A,132479000,#N/A,0,#N/A
1946,1.96,#N/A,140055000,#N/A,0,#N/A
1947,1.96,#N/A,143444000,#N/A,0,0.034
1948,2.04,#N/A,146091000,#N/A,0,0.043
1949,2,#N/A,148666000,#N/A,0,0.065
1950,2.27,#N/A,151330000,#N/A,0,0.037
1951,2.4,#N/A,153982000,2583817000,0,0.032
1952,2.53,#N/A,156391000,2630584000,0,0.029
1953,2.54,#N/A,158957000,2677230000,0,0.049
1954,2.61,#N/A,161882000,2724302000,0,0.049
1955,2.78,#N/A,165068000,2772243000,0,0.04
1956,2.84,#N/A,168089000,2821383000,0,0.042
1957,2.85,#N/A,171189000,2871952000,0,0.058
1958,2.92,#N/A,174153000,2924081000,0,0.06
1959,3.06,#N/A,177136000,2977825000,0,0.052
1960,3.08,11.2,179322000,3033213000,0,0.066
1961,3.28,11.68,182976000,3090305000,1,0.058
1962,3.42,12.33,185739000,3149244000,1,0.057
1963,3.6,12.97,188434000,3210271000,1,0.056
1964,3.78,13.84,191085000,3273671000,1,0.049
1965,4.1,14.61,193460000,3339593000,1,0.04
1966,4.29,15.46,195499000,3408121000,1,0.039
1967,4.4,16.14,197375000,3479054000,1,0.037
1968,4.62,17.14,199312000,3551881000,1,0.034
1969,4.72,18.19,201305000,3625906000,0,0.039
1970,4.71,19.04,203302000,3700578000,0,0.059
1971,4.91,19.86,206827000,3775791000,0,0.058
1972,5.25,21.01,209284000,3851545000,0,0.049
1973,5.46,22.38,211357000,3927539000,0,0.051
1974,5.36,22.83,213342000,4003448000,0,0.081
1975,5.49,23,215465000,4079087000,0,0.079
1976,5.73,24.24,217563000,4154288000,1,0.075
1977,6.02,25.21,219760000,4229201000,1,0.064
1978,6.42,26.22,222095000,4304377000,1,0.059
1979,6.5,27.31,224567000,4380586000,1,0.063
1980,6.5,27.84,226546000,4458412000,1,0.075
1981,6.59,28.38,229466000,4537846000,0,0.086
1982,6.49,28.48,231664000,4618776000,0,0.104
1983,7,29.16,233792000,4701531000,0,0.08
1984,7.4,30.48,235825000,4786484000,0,0.073
1985,7.71,31.66,237924000,4873782000,0,0.067
1986,7.94,32.71,240133000,4963633000,0,0.066
1987,8.29,33.88,242289000,5055636000,0,0.057
1988,8.61,35.45,244499000,5148557000,0,0.054
1989,8.85,36.78,246819000,5240735000,0,0.054
1990,8.91,37.89,248710000,5330943000,0,0.064
1991,9.02,38.43,252981000,5418759000,0,0.073
1992,9.41,39.12,256514000,5504401000,0,0.073
1993,9.65,39.75,259919000,5588095000,1,0.066
1994,10.05,40.95,263126000,5670320000,1,0.056
1995,10.28,42.2,266278000,5751474000,1,0.056
1996,10.74,43.62,269394000,5831565000,1,0.053
1997,11.21,45.24,272647000,5910566000,1,0.046
1998,11.77,46.38,275854000,5988846000,1,0.043
1999,12.32,47.89,279040000,6066867000,1,0.04
2000,12.68,50,281422000,6145007000,1,0.042
2001,12.71,50.96,284969000,6223412000,0,0.057
2002,12.96,52.06,287625000,6302150000,0,0.058
2003,13.53,53.57,290108000,6381409000,0,0.057
2004,13.95,55.96,292805000,6461371000,0,0.053
2005,14.37,58.11,295517000,6542159000,0,0.047
2006,14.72,60.62,298380000,6623848000,0,0.046
2007,14.99,63.19,301231000,6706419000,0,0.05
2008,14.58,64.34,304094000,6789771000,0,0.078
2009,14.54,63.23,306772000,6873741000,1,0.098
2010,14.94,65.95,308746000,6958169000,1,0.091
2011,15.19,68.05,311644000,7043009000,1,0.083
2012,15.38,69.71,313993000,7128177000,1,0.08
2013,15.79,71.55,316235000,7213426000,1,0.066
2014,16.22,73.59,318623000,7298453000,1,0.057
2015,16.55,75.67,321040000,7383009000,1,0.049
2016,16.85,77.55,323406000,7466964000,1,0.048
2017,17.29,#N/A,325719000,7550262000,1,0.041
